Bib,Name,Country,Gender,Division,Division Rank,Overall Time,Overall Rank,Swim Time,Swim Rank,Bike Time,Bike Rank,Run Time,Run Rank,Finish Status
263,Soongi Cho,Korea,Male,M40-44,12,10:49:45,50,1:26:14,196,5:02:25,19,4:06:54,91,Finisher
317,Minjae Song,Korea,Male,M40-44,13,10:50:44,51,1:18:17,92,5:31:22,86,3:53:58,52,Finisher
492,Sangtae Choi,Korea,Male,M50-54,4,10:51:10,52,1:22:00,136,5:17:41,54,3:58:50,66,Finisher
59,Youngjae Lee,Korea,Male,M45-49,6,10:53:53,53,1:22:59,150,5:25:27,74,3:55:50,56,Finisher
698,乃凌 陶,China,Male,M60-64,1,10:54:16,54,1:19:44,114,5:16:03,52,4:07:13,93,Finisher
604,Young Rae Jung,Korea,Male,M55-59,4,10:54:23,55,1:16:34,65,5:24:35,70,4:00:45,70,Finisher
60,Seongsu Kim,Korea,Male,M50-54,5,10:55:00,56,1:21:04,126,5:29:25,84,3:58:04,63,Finisher
299,Taekeun Lee,Korea,Male,M40-44,14,10:55:44,57,1:27:31,218,5:41:06,123,3:33:45,18,Finisher
238,준혁 성,Korea,Male,M35-39,17,10:57:15,58,1:28:32,231,5:10:26,34,4:08:35,97,Finisher
1,HYEKYEONG SEO,Korea,Female,F30-34,2,10:57:18,59,1:11:35,33,5:33:10,93,4:05:47,87,Finisher
290,Youngchul Kim,Korea,Male,M40-44,15,10:58:20,60,1:39:51,422,5:12:29,38,3:50:51,43,Finisher
235,? ??,Korea,Male,M35-39,18,10:59:17,61,1:46:33,479,5:08:34,29,3:52:20,45,Finisher
500,Hwang Seong Bong,Korea,Male,M50-54,6,11:01:44,62,1:13:46,43,5:40:32,121,3:53:14,49,Finisher
419,Sung Hyun Park,Korea,Male,M45-49,7,11:01:49,63,1:33:37,333,5:26:58,78,3:51:00,44,Finisher
31,Youngchul Kim,Korea,Male,M50-54,7,11:03:23,64,1:30:30,278,5:19:25,57,4:01:52,73,Finisher
21,達也 安齋,Japan,Male,M35-39,19,11:03:47,65,1:14:56,51,5:37:18,106,4:02:45,76,Finisher
296,Junyeon Lee,Korea,Male,M40-44,16,11:04:17,66,1:18:23,93,5:25:35,75,4:10:26,101,Finisher
28,영균 김,Korea,Male,M45-49,8,11:05:29,67,1:22:45,145,5:40:14,120,3:47:40,40,Finisher
501,Inchul Hwang,Korea,Male,M50-54,8,11:05:57,68,1:18:12,91,5:37:08,105,4:02:35,75,Finisher
255,Sook Jin Kang,Korea,Female,F35-39,3,11:05:58,69,1:23:30,155,5:38:07,114,3:53:54,50,Finisher
599,Jokyun Jeong,Korea,Male,M55-59,5,11:06:47,70,1:32:23,311,5:11:00,35,4:09:29,100,Finisher
559,노 영복,Korea,Male,M50-54,9,11:06:54,71,1:13:44,41,5:48:36,143,3:58:01,61,Finisher
257,Yuanyuan Liu,China,Female,F35-39,4,11:07:01,72,1:32:58,324,5:38:17,115,3:46:46,37,Finisher
465,Hyunjung Kim,Korea,Female,F45-49,1,11:07:26,73,1:22:27,141,5:37:55,111,3:59:42,69,Finisher
414,Choulkyun Park,Korea,Male,M45-49,9,11:07:44,74,1:19:40,113,5:15:51,51,4:20:16,128,Finisher
391,Jong Kyung Kim,Korea,Male,M45-49,10,11:09:03,75,1:21:33,133,5:13:50,44,4:24:21,139,Finisher
217,Wang-Woo Nam,Korea,Male,M35-39,20,11:09:34,76,1:19:07,100,5:23:46,69,4:12:51,110,Finisher
7,Dougin Walker,United States,Male,M55-59,6,11:09:35,77,54:04:00,2,5:34:09,99,4:30:36,160,Finisher
400,Dongeun Lee,Korea,Male,M45-49,11,11:10:10,78,1:28:19,228,5:33:41,96,3:53:55,51,Finisher
550,? ?,China,Male,M50-54,10,11:11:00,79,1:21:29,132,5:33:52,98,4:05:48,88,Finisher
357,Congyu Zhu,China,Female,F40-44,1,11:11:37,80,1:16:38,68,5:45:17,135,4:02:14,74,Finisher
332,종신 김,Korea,Male,M40-44,17,11:12:07,81,1:19:10,102,5:37:35,109,4:01:46,72,Finisher
52,Yu Zhang,China,Male,M40-44,18,11:15:29,82,1:30:45,283,5:21:57,61,4:06:14,89,Finisher
45,Daeho Ha,Korea,Male,M40-44,19,11:17:23,83,1:05:31,13,5:12:42,40,4:45:16,226,Finisher
634,Wonhan Song,Korea,Male,M55-59,7,11:18:29,84,1:19:29,109,5:49:01,144,3:58:57,67,Finisher
56,Sunghoon Kim,Korea,Male,M45-49,12,11:18:37,85,1:27:00,208,5:22:36,62,4:18:11,125,Finisher
676,Dong Hwan Kim,Korea,Male,M60-64,2,11:19:26,86,1:22:43,143,5:06:25,25,4:40:05,201,Finisher
2,Sangho Lee,Korea,Male,M35-39,21,11:19:33,87,1:11:35,34,5:24:49,72,4:36:46,178,Finisher
75,Junghun Lee,Korea,Male,M18-24,2,11:20:19,88,1:23:40,159,5:41:23,124,4:04:57,83,Finisher
390,Dohyoung Kim,Korea,Male,M45-49,13,11:20:43,89,1:29:08,244,5:32:00,90,4:12:31,108,Finisher
684,Insoo Park,Korea,Male,M60-64,3,11:24:29,90,1:28:35,234,5:42:57,128,3:59:33,68,Finisher
311,Jong-Hun Park,Korea,Male,M40-44,20,11:24:34,91,1:22:40,142,5:55:06,159,3:56:58,58,Finisher
15,Ramon Miguel E. Abeleda,Philippines,Male,M35-39,22,11:25:11,92,1:13:53,44,5:45:03,134,4:17:41,123,Finisher
247,규원 정,Korea,Male,M35-39,23,11:25:30,93,1:26:34,201,5:37:31,108,4:06:43,90,Finisher
612,Jong Hyuk Lee,Korea,Male,M55-59,8,11:26:20,94,1:28:38,235,5:45:33,136,3:58:33,65,Finisher
280,Min Suk Jang,Korea,Male,M40-44,21,11:27:32,95,1:14:38,48,5:19:10,56,4:41:04,208,Finisher
619,Jochen Nippel,Germany,Male,M55-59,9,11:28:53,96,1:10:51,31,5:24:48,71,4:43:33,218,Finisher
173,Xing Lu,China,Female,F30-34,3,11:29:25,97,1:34:41,347,6:05:32,211,3:39:41,30,Finisher
269,Evgeny Dekhtiar,Unknown,Male,M40-44,22,11:29:56,98,1:04:58,9,6:15:26,253,3:57:49,60,Finisher
420,Carlos Prieto,United States,Male,M45-49,14,11:30:13,99,1:16:35,66,5:32:08,92,4:26:28,149,Finisher
523,Young Sam Kong,Korea,Male,M50-54,11,11:30:30,100,1:16:26,64,5:38:02,113,4:22:32,136,Finisher
345,희연 이,Korea,Male,M40-44,23,11:30:39,101,1:30:56,285,5:56:20,165,3:47:51,41,Finisher
302,Jingyu Maeng,Korea,Male,M40-44,24,11:31:23,102,1:28:48,239,5:24:58,73,4:27:57,155,Finisher
270,Aleksei Geiman,Unknown,Male,M40-44,25,11:32:14,103,1:12:00,37,5:31:31,89,4:39:30,196,Finisher
693,Hyeonjong You,Korea,Male,M60-64,4,11:33:24,104,1:26:36,204,5:30:33,85,4:25:26,145,Finisher
266,Matthew Crawford,Canada,Male,M40-44,26,11:34:03,105,1:24:38,174,5:46:56,140,4:05:08,84,Finisher
29,Eun-Nam Kim,Korea,Female,F45-49,2,11:34:26,106,1:34:46,349,5:45:01,133,4:04:37,82,Finisher
326,Hongbin Zhang,China,Male,M40-44,27,11:35:15,107,1:10:43,28,5:38:49,117,4:33:57,167,Finisher
128,Aleksei Artemenko,Unknown,Male,M30-34,4,11:36:28,108,1:18:49,94,5:38:39,116,4:22:22,135,Finisher
440,현진 김,Korea,Male,M45-49,15,11:36:53,109,1:17:28,84,5:41:48,127,4:23:27,138,Finisher
527,Hyun Ik Lee,Korea,Male,M50-54,12,11:37:59,110,1:24:08,166,5:33:21,94,4:25:03,143,Finisher
188,Jun Zhen Benjamin Chee,Malaysia,Male,M35-39,24,11:38:17,111,1:25:22,186,5:49:33,146,4:16:20,120,Finisher
329,민회 구,Korea,Male,M40-44,28,11:40:51,112,1:16:45,69,6:04:54,208,4:10:36,102,Finisher
377,Shin Jae,Korea,Male,M45-49,16,11:40:57,113,1:24:49,176,5:59:20,181,3:57:36,59,Finisher
196,Vitalii Ilin,Unknown,Male,M35-39,25,11:42:34,114,1:17:05,74,5:27:18,79,4:43:12,217,Finisher
448,전식 오,Korea,Male,M45-49,17,11:43:56,115,1:24:06,165,5:26:48,76,4:38:31,191,Finisher
539,Jong In Park,Korea,Male,M50-54,13,11:44:20,116,1:28:43,236,5:23:06,66,4:39:39,198,Finisher
16,Lexter Ansaldo,Philippines,Male,M35-39,26,11:44:32,117,1:27:24,216,5:13:14,42,4:50:51,244,Finisher
477,순영 정,Korea,Female,F45-49,3,11:45:00,118,1:25:03,179,6:05:54,214,4:04:23,80,Finisher
74,Minjae Kang,Korea,Male,M18-24,3,11:45:30,119,1:18:51,96,5:12:57,41,5:01:00,291,Finisher
487,Changmin Choi,Korea,Male,M50-54,14,11:45:38,120,1:30:43,282,5:55:08,160,4:05:13,85,Finisher
256,Soojung Lee,Korea,Female,F35-39,5,11:47:04,121,1:24:34,173,5:33:43,97,4:34:47,172,Finisher
544,Sergei Senchenko,Kyrgyzstan,Male,M50-54,15,11:47:28,122,1:30:19,274,5:32:01,91,4:34:23,171,Finisher
46,Junho Lee,Korea,Male,M40-44,29,11:47:32,123,1:06:05,15,5:53:19,155,4:39:07,195,Finisher
366,Eunkwang Cheon,Korea,Male,M45-49,18,11:47:43,124,1:29:25,253,5:41:43,125,4:22:41,137,Finisher
314,Jianghao Shi,China,Male,M40-44,30,11:49:27,125,1:27:07,211,5:44:08,131,4:26:52,151,Finisher
291,Yeongbok Ko,Korea,Male,M40-44,31,11:49:33,126,1:15:56,59,5:53:47,156,4:27:55,154,Finisher
39,Geunseok Kim,Korea,Male,M30-34,5,11:51:49,127,1:29:00,242,6:01:40,186,4:03:24,79,Finisher
244,은하 이,Korea,Male,M35-39,27,11:54:29,128,1:34:45,348,5:46:33,138,4:16:28,121,Finisher
472,Hyelim Yoon,Korea,Female,F45-49,4,11:54:32,129,1:21:25,131,6:09:33,232,4:07:57,95,Finisher
54,Ham Seongje,Korea,Male,M45-49,19,11:55:52,130,1:29:41,258,6:07:13,221,4:07:31,94,Finisher
666,Hideki Matsumoto,Japan,Male,M60-64,5,11:56:34,131,1:25:55,192,5:40:50,122,4:40:56,205,Finisher
197,Jinil Jeon,Korea,Male,M35-39,28,11:57:47,132,1:30:08,268,5:58:08,172,4:15:37,118,Finisher
475,세정 김,Korea,Female,F45-49,5,11:57:59,133,1:28:30,230,6:03:38,199,4:14:46,115,Finisher
394,Se Yoon Kim,Korea,Male,M45-49,20,11:58:16,134,1:29:09,245,5:36:38,102,4:34:04,168,Finisher
568,한주 이,Korea,Male,M50-54,16,11:58:26,135,1:32:03,302,6:08:34,225,3:53:09,48,Finisher
481,Stephen Burns,Philippines,Male,M50-54,17,11:58:31,136,1:23:33,156,5:39:41,119,4:42:24,213,Finisher
103,Anthony Cunnigham,Philippines,Male,M25-29,4,11:59:36,137,1:17:10,76,6:05:55,215,4:29:06,158,Finisher
450,영재 이,Korea,Male,M45-49,21,12:00:22,138,1:29:52,261,6:07:07,220,4:10:54,103,Finisher
639,Yun Dong,China,Male,M55-59,10,12:00:41,139,1:29:14,250,5:58:17,174,4:11:59,105,Finisher
398,Changhyun Lee,Korea,Male,M45-49,22,12:01:13,140,1:31:27,295,6:00:47,183,4:14:19,114,Finisher
10,Kugcheol Lee,Korea,Male,M65-69,1,12:01:28,141,1:37:59,402,5:14:10,48,4:53:32,256,Finisher
153,주환 이,Korea,Male,M30-34,6,12:01:47,142,1:27:08,212,5:54:03,157,4:14:13,113,Finisher
