Bib,Name,Country,Gender,Division,Division Rank,Overall Time,Overall Rank,Swim Time,Swim Rank,Bike Time,Bike Rank,Run Time,Run Rank,Finish Status
517,Jinho Kim,Korea,Male,M50-54,28,12:49:51,220,1:26:16,197,5:59:08,178,5:13:03,329,Finisher
598,Hansin Jeong,Korea,Male,M55-59,18,12:50:29,221,1:23:34,157,5:31:29,88,5:41:53,405,Finisher
455,창만 조,Korea,Male,M45-49,40,12:50:40,222,1:25:07,180,6:35:05,340,4:26:38,150,Finisher
536,Chun Sik Park,Korea,Male,M50-54,29,12:51:59,223,1:22:58,149,5:56:26,167,5:14:14,336,Finisher
249,병민 최,Korea,Male,M35-39,38,12:52:09,224,1:42:50,447,6:32:01,324,4:12:08,106,Finisher
228,康 安,China,Male,M35-39,39,12:52:20,225,2:05:23,557,6:14:45,251,4:18:02,124,Finisher
278,Chulhee Jang,Korea,Male,M40-44,43,12:54:23,226,1:29:11,247,6:15:32,254,4:43:11,216,Finisher
267,Luis Cristo,Mexico,Male,M40-44,44,12:55:14,227,1:19:27,106,6:20:32,282,5:04:11,307,Finisher
565,현상 신,Korea,Male,M50-54,30,12:55:18,228,1:28:45,237,6:13:45,246,4:58:15,280,Finisher
438,태한 김,Korea,Male,M45-49,41,12:55:45,229,1:30:07,267,6:23:05,292,4:38:54,192,Finisher
62,Tanaka Kazuko,Japan,Female,F50-54,1,12:56:59,230,1:32:10,304,6:26:27,311,4:37:17,180,Finisher
534,Youngjin Paik,Korea,Male,M50-54,31,12:57:44,231,1:24:02,163,6:22:40,290,4:53:46,257,Finisher
564,영국 송,Korea,Male,M50-54,32,12:59:55,232,1:34:04,339,6:24:22,298,4:44:28,223,Finisher
298,Sunghyun Lee,Korea,Male,M40-44,45,13:00:04,233,1:39:13,417,6:51:57,412,4:02:52,77,Finisher
393,Kyounghwan Kim,Korea,Male,M45-49,42,13:01:54,234,1:19:37,111,5:39:34,118,5:50:57,426,Finisher
628,Choong Hee Seo,Korea,Male,M55-59,19,13:02:39,235,1:30:10,269,6:11:55,238,5:03:16,304,Finisher
330,도현 김,Korea,Male,M40-44,46,13:02:43,236,1:24:24,170,6:35:54,344,4:40:23,202,Finisher
211,Sangwoo Lee,Korea,Male,M35-39,40,13:02:50,237,1:34:34,345,6:49:53,407,4:25:52,147,Finisher
712,?? ?,Korea,Male,M65-69,2,13:03:13,238,1:24:45,175,6:32:19,326,4:41:56,212,Finisher
152,주호 이,Korea,Male,M30-34,14,13:03:15,239,1:29:54,263,6:24:15,297,4:49:34,242,Finisher
535,Chang Jin Park,Korea,Male,M50-54,33,13:04:23,240,1:22:12,139,6:17:01,263,5:11:44,324,Finisher
237,지호 서,Korea,Male,M35-39,41,13:04:28,241,1:35:16,359,6:26:59,313,4:35:35,176,Finisher
359,아련 이,Korea,Female,F40-44,4,13:05:12,242,1:50:59,501,6:17:30,266,4:37:55,184,Finisher
303,Chulki Min,Korea,Male,M40-44,47,13:05:43,243,1:06:28,18,6:16:39,261,5:28:50,372,Finisher
516,Hong Lak Kim,Korea,Male,M50-54,34,13:05:56,244,1:32:27,313,6:20:58,284,4:56:19,271,Finisher
652,Jaeyeon An,Korea,Female,F55-59,2,13:06:42,245,1:32:15,308,6:34:10,335,4:46:37,231,Finisher
633,Yong Hwa Shin,Korea,Male,M55-59,20,13:06:58,246,1:28:46,238,6:13:51,247,5:01:29,294,Finisher
364,Kitak Bok,Korea,Male,M45-49,43,13:07:08,247,1:35:37,362,6:23:50,293,4:44:17,221,Finisher
621,Sanghoon Oh,Korea,Male,M55-59,21,13:07:12,248,1:46:28,478,6:35:35,343,4:26:19,148,Finisher
407,Dmitry Lukyanov,Unknown,Male,M45-49,44,13:07:39,249,1:34:00,337,6:12:35,239,5:03:33,305,Finisher
277,Dave Vincent Jamago,Philippines,Male,M40-44,48,13:08:01,250,1:44:30,457,6:22:38,289,4:46:11,229,Finisher
710,양수 박,Korea,Male,M65-69,3,13:08:35,251,1:41:04,433,6:32:25,327,4:41:46,210,Finisher
663,Gilles Castagnes,France,Male,M60-64,10,13:08:38,252,1:19:29,107,6:15:46,255,5:23:05,360,Finisher
577,Kyounghee Kim,Korea,Female,F50-54,2,13:08:45,253,1:23:48,161,6:07:36,223,5:20:47,355,Finisher
53,Hiro Fujimori,Japan,Male,M45-49,45,13:08:56,254,1:30:49,284,6:26:27,312,5:01:35,295,Finisher
569,충경 정,Korea,Male,M50-54,35,13:09:27,255,1:22:10,138,7:03:25,449,4:30:03,159,Finisher
210,Sac Lee,Korea,Male,M35-39,42,13:10:15,256,1:31:35,298,6:31:13,323,4:51:44,248,Finisher
169,Leanne Kermack,United Kingdom,Female,F30-34,4,13:11:27,257,1:19:10,101,6:46:10,388,4:49:00,238,Finisher
624,Dong Sik Park,Korea,Male,M55-59,22,13:11:36,258,1:27:38,221,6:16:30,260,5:17:32,346,Finisher
130,Alejandro Chung,Chile,Male,M30-34,15,13:12:09,259,1:20:11,116,6:38:20,351,4:55:24,266,Finisher
243,승환 이,Korea,Male,M35-39,43,13:12:51,260,1:16:07,61,6:02:28,192,5:40:38,401,Finisher
358,예진 김,Korea,Female,F40-44,5,13:12:54,261,1:37:03,385,6:13:13,243,5:01:19,292,Finisher
524,Kwon Su Bum,Korea,Male,M50-54,36,13:13:21,262,1:46:02,473,7:01:07,442,4:15:08,117,Finisher
601,창국(CHANGKOOK) 정(JUNG),Korea,Male,M55-59,23,13:13:42,263,1:58:15,542,6:05:12,209,4:56:08,269,Finisher
417,Jooshin Park,Korea,Male,M45-49,46,13:14:49,264,1:30:11,270,6:34:03,333,4:54:18,262,Finisher
705,Myung Sik Choi,Korea,Male,M65-69,4,13:14:51,265,1:45:16,463,6:32:10,325,4:41:31,209,Finisher
566,규훈 이,Korea,Male,M50-54,37,13:14:54,266,1:27:36,220,5:51:34,149,5:36:06,389,Finisher
459,찬영 황,Korea,Male,M45-49,47,13:15:19,267,1:30:32,280,6:22:52,291,4:51:57,250,Finisher
518,Joo Yeok Kim,Korea,Male,M50-54,38,13:15:40,268,1:37:42,398,6:04:12,202,5:05:32,309,Finisher
66,Matthew Yaquinto,United States,Male,M55-59,24,13:17:33,269,1:32:32,315,5:49:07,145,5:45:34,417,Finisher
548,Youngsoo Yoo,Korea,Male,M50-54,39,13:17:35,270,1:41:50,438,6:22:30,287,5:00:18,287,Finisher
622,Sekwon Oh,Korea,Male,M55-59,25,13:17:50,271,1:47:15,483,6:19:33,275,4:49:59,243,Finisher
106,Minsu Kim,Korea,Male,M25-29,6,13:18:32,272,1:18:03,88,6:28:38,319,5:17:08,344,Finisher
240,태용 심,Korea,Male,M35-39,44,13:18:49,273,1:18:01,86,6:33:08,331,5:12:53,328,Finisher
453,남훈 정,Korea,Male,M45-49,48,13:18:52,274,1:14:58,52,6:48:40,403,4:56:16,270,Finisher
413,Bong Min Park,Korea,Male,M45-49,49,13:19:05,275,1:50:22,498,6:02:40,194,5:08:50,314,Finisher
494,Dong Ho Han,Korea,Male,M50-54,40,13:19:15,276,1:32:47,320,6:28:40,320,4:53:15,255,Finisher
287,Kwanki Kim,Korea,Male,M40-44,49,13:19:16,277,1:29:34,256,6:43:27,376,4:40:31,204,Finisher
14,Nahyun Kim,Korea,Female,F30-34,5,13:19:37,278,1:51:23,504,6:40:14,360,4:34:56,173,Finisher
149,선한 신,Korea,Male,M30-34,16,13:20:57,279,1:38:16,408,6:42:13,372,4:48:59,237,Finisher
541,Sunghyo Park,Korea,Male,M50-54,41,13:20:58,280,1:37:53,399,6:22:36,288,5:03:12,303,Finisher
203,Joohwa Kim,Korea,Male,M35-39,45,13:21:18,281,1:45:23,466,6:24:39,300,4:52:51,253,Finisher
281,Soungjin Jeon,Korea,Male,M40-44,50,13:21:44,282,1:29:57,265,5:54:15,158,5:37:52,391,Finisher
25,Keiichi Yoshitomi,Japan,Male,M40-44,51,13:23:34,283,1:51:45,509,6:39:25,359,4:35:19,174,Finisher
260,영희 주,Korea,Female,F35-39,7,13:23:41,284,1:27:29,217,7:03:35,450,4:38:01,187,Finisher
392,Kwang Hyun Kim,Korea,Male,M45-49,50,13:23:43,285,1:19:39,112,6:04:27,205,5:39:10,396,Finisher
611,Han Jo Lee,Korea,Male,M55-59,26,13:23:50,286,1:40:48,429,6:37:44,349,4:44:43,224,Finisher
532,Heungtaek Lim,Korea,Male,M50-54,42,13:23:58,287,1:44:13,455,6:44:55,382,4:30:39,161,Finisher
198,Dattatray Kale,India,Male,M35-39,46,13:24:15,288,1:55:50,532,6:26:24,310,4:51:26,246,Finisher
659,수미 강,Korea,Female,F55-59,3,13:24:29,289,1:43:04,448,6:42:44,373,4:48:38,236,Finisher
343,지황 이,Korea,Male,M40-44,52,13:25:16,290,1:36:52,382,5:58:21,175,5:22:21,358,Finisher
341,의융 유,Korea,Male,M40-44,53,13:25:54,291,1:30:20,275,6:41:41,368,4:56:36,273,Finisher
435,Youngbin Kim,Korea,Male,M45-49,51,13:25:57,292,1:19:18,104,6:48:12,401,4:45:26,227,Finisher
396,Kwon Sang Jin,Korea,Male,M45-49,52,13:26:08,293,1:32:13,306,6:48:05,399,4:37:00,179,Finisher
660,영애 김,Korea,Female,F55-59,4,13:26:24,294,1:54:09,528,6:48:52,405,4:25:22,144,Finisher
178,Wooey Park,Korea,Female,F30-34,6,13:26:34,295,1:34:10,343,6:34:34,339,5:03:37,306,Finisher
497,Kwan Gu Heo,Korea,Male,M50-54,43,13:26:39,296,1:49:53,495,6:38:52,354,4:40:57,206,Finisher
389,Daeik Kim,Korea,Male,M45-49,53,13:27:44,297,1:17:14,79,6:35:28,342,5:23:16,361,Finisher
365,Chang-Eob Cheon,Korea,Male,M45-49,54,13:28:12,298,1:38:14,407,6:40:34,363,4:54:46,264,Finisher
337,경인 배,Korea,Male,M40-44,54,13:28:15,299,1:29:50,259,5:37:57,112,5:59:59,444,Finisher
382,Byungwon Jin,Korea,Male,M45-49,55,13:28:31,300,1:45:05,462,6:47:44,397,4:32:11,165,Finisher
272,Molina Jorge Erminso Guzman,Colombia,Male,M40-44,55,13:29:16,301,1:37:20,387,5:50:00,147,5:39:45,398,Finisher
681,Young Hoon Kim,Korea,Male,M60-64,11,13:30:07,302,1:23:37,158,6:02:07,189,5:46:46,419,Finisher
395,Seho Kook,Korea,Male,M45-49,56,13:30:42,303,1:38:53,413,6:36:23,347,4:54:24,263,Finisher
410,Gabit Mukhambetov,Kazakhstan,Male,M45-49,57,13:30:44,304,1:24:32,172,6:33:55,332,5:13:30,331,Finisher
116,Yulmin Kim,Korea,Female,F25-29,2,13:30:56,305,1:30:57,286,6:07:00,219,5:38:18,395,Finisher
313,Sangmin Park,Korea,Male,M40-44,56,13:32:06,306,1:51:41,507,6:13:32,244,5:06:10,310,Finisher
679,Tae-Shik Kim,Korea,Male,M60-64,12,13:32:25,307,2:06:14,560,6:24:23,299,4:37:52,183,Finisher
542,Youngchang Park,Korea,Male,M50-54,44,13:32:26,308,1:43:23,449,6:16:56,262,5:12:20,326,Finisher
105,Dongwook Kim,Korea,Male,M25-29,7,13:32:29,309,1:38:05,405,6:39:10,357,5:00:36,288,Finisher
543,Seong Yong Ryu,Korea,Male,M50-54,45,13:32:31,310,1:35:02,353,5:59:10,179,5:39:32,397,Finisher
526,Haeil Lee,Korea,Male,M50-54,46,13:33:33,311,1:28:21,229,6:25:58,308,5:16:19,340,Finisher
606,Joonhyung Kim,Korea,Male,M55-59,27,13:34:02,312,1:53:53,524,6:59:34,438,4:21:24,131,Finisher
380,Sung-Wuk Jang,Korea,Male,M45-49,58,13:35:55,313,1:40:10,424,6:09:07,228,5:32:17,379,Finisher
36,You Sook Lee,Korea,Female,F55-59,5,13:36:25,314,1:25:48,191,6:57:42,429,5:02:29,299,Finisher
688,Youk Taek Shim,Korea,Male,M60-64,13,13:38:01,315,1:40:55,431,6:25:18,304,5:14:29,338,Finisher
411,Lai Soon Ng,Malaysia,Male,M45-49,59,13:38:03,316,1:29:50,260,6:39:07,355,5:11:02,320,Finisher
233,노 재호,Korea,Male,M35-39,47,13:38:04,317,1:37:55,401,6:14:24,249,5:31:11,376,Finisher
562,정규 박,Korea,Male,M50-54,47,13:38:06,318,1:45:20,465,6:51:00,410,4:40:03,200,Finisher
558,충헌 김,Korea,Male,M50-54,48,13:38:27,319,1:38:56,414,6:19:39,278,5:20:49,356,Finisher
511,Kim Hyunwoo,Korea,Male,M50-54,49,13:38:47,320,1:16:56,70,6:27:12,314,5:42:54,409,Finisher
306,Noh Seho,Korea,Male,M40-44,57,13:38:57,321,1:31:13,292,5:53:18,154,6:00:53,446,Finisher
333,준연 김,Korea,Male,M40-44,58,13:39:12,322,1:51:09,503,6:04:15,203,5:10:24,317,Finisher
664,Iksoo Choi,Korea,Male,M60-64,14,13:39:13,323,1:30:15,272,6:32:50,329,5:14:11,335,Finisher
632,Jong Yeob Shin,Korea,Male,M55-59,28,13:40:03,324,1:51:34,506,6:08:58,227,5:26:32,366,Finisher
585,정화 백,Korea,Female,F50-54,3,13:40:08,325,1:23:17,152,6:19:46,279,5:35:37,388,Finisher
588,Jeoung Ho Baek,Korea,Male,M55-59,29,13:41:00,326,1:22:22,140,6:46:45,393,5:13:36,333,Finisher
416,Jiho Park,Korea,Male,M45-49,60,13:41:06,327,1:24:56,177,6:32:59,330,5:25:37,363,Finisher
618,Reujenson Lista,Philippines,Male,M55-59,30,13:41:30,328,1:46:47,480,5:47:45,142,5:55:08,434,Finisher
155,재현 임,Korea,Male,M30-34,17,13:42:05,329,1:54:32,529,6:38:43,353,4:46:35,230,Finisher
268,Rodel Cuaton,Philippines,Male,M40-44,59,13:42:08,330,1:35:58,368,7:10:37,471,4:40:23,203,Finisher
236,준희 박,Korea,Male,M35-39,48,13:42:58,331,1:50:41,500,6:34:13,336,4:57:17,277,Finisher
154,태호 이,Korea,Male,M30-34,18,13:43:01,332,1:48:24,491,7:01:16,443,4:32:29,166,Finisher
463,Heejung Kim,Korea,Female,F45-49,10,13:43:29,333,1:51:46,510,6:43:08,375,4:52:00,251,Finisher
403,Jin Sung Lee,Korea,Male,M45-49,61,13:43:38,334,1:29:31,255,7:09:10,470,4:42:54,214,Finisher
231,경남 김,Korea,Male,M35-39,49,13:43:40,335,1:53:05,518,7:45:58,525,3:48:08,42,Finisher
8,Jill Walker,United States,Female,F55-59,6,13:44:20,336,1:17:21,82,6:12:46,240,6:05:17,458,Finisher
571,호현 최,Korea,Male,M50-54,50,13:46:09,337,1:31:06,289,6:55:30,420,5:00:08,286,Finisher
374,Taekyo Han,Korea,Male,M45-49,62,13:47:42,338,1:29:11,248,6:41:43,369,5:20:32,352,Finisher
704,명숙 이,Korea,Female,F60-64,2,13:47:53,339,1:32:19,309,7:00:26,439,4:54:03,259,Finisher
432,Nakamichi Yuya,Japan,Male,M45-49,63,13:47:56,340,1:21:47,134,5:13:24,43,6:53:02,518,Finisher
367,Sangphil Cho,Korea,Male,M45-49,64,13:48:14,341,1:56:58,539,6:01:18,185,5:31:50,377,Finisher
147,민규 김,Korea,Male,M30-34,19,13:48:22,342,1:35:05,355,7:11:49,473,4:43:57,220,Finisher
682,Kei Wung Lee,Korea,Male,M60-64,15,13:48:56,343,1:37:40,397,5:56:07,163,5:59:51,443,Finisher
48,Billedo Mendelf,Philippines,Male,M40-44,60,13:50:31,344,1:43:56,453,6:39:16,358,5:08:15,313,Finisher
104,Ilfat Khairullin,Unknown,Male,M25-29,8,13:51:16,345,1:53:49,522,6:50:42,409,4:54:04,260,Finisher
139,Jongjoon Kim,Korea,Male,M30-34,20,13:51:21,346,1:26:29,199,6:45:25,386,5:00:47,290,Finisher
347,도현 장,Korea,Male,M40-44,61,13:53:27,347,1:27:39,222,6:41:59,370,5:11:02,321,Finisher
189,Yongrae Cho,Korea,Male,M35-39,50,13:53:31,348,1:32:10,305,5:47:34,141,6:18:20,479,Finisher
166,Hyojoo Jang,Korea,Female,F30-34,7,13:53:32,349,1:39:40,421,7:09:04,468,4:51:17,245,Finisher
301,Roman Logov,Unknown,Male,M40-44,62,13:53:56,350,1:25:25,187,6:58:23,432,5:10:36,318,Finisher
184,아영 이,Korea,Female,F30-34,8,13:54:31,351,1:52:07,513,6:58:20,431,4:41:48,211,Finisher
348,충훈 전,Korea,Male,M40-44,63,13:55:42,352,1:55:54,533,6:22:22,286,5:18:35,347,Finisher
572,Zhihong Chen,China,Female,F50-54,4,13:56:10,353,1:37:24,388,7:01:20,444,5:00:43,289,Finisher
528,Hyungbae Lee,Korea,Male,M50-54,51,13:57:22,354,1:31:18,294,6:47:24,395,5:01:58,296,Finisher
560,박 병남,Korea,Male,M50-54,52,13:57:25,355,1:40:55,432,7:05:05,454,4:51:33,247,Finisher
423,Geunchan Seo,Korea,Male,M45-49,65,13:57:59,356,1:31:50,300,6:44:02,378,5:13:20,330,Finisher
344,한얼 이,Korea,Male,M40-44,64,13:58:00,357,1:20:53,122,6:36:08,345,5:33:44,383,Finisher
708,Seokbae Jeon,Korea,Male,M65-69,5,13:58:27,358,1:42:32,444,6:13:08,242,5:46:46,420,Finisher
315,Ja Rim Shin,Korea,Male,M40-44,65,13:58:27,359,1:37:27,391,6:52:45,416,4:59:43,285,Finisher
640,경문 강,Korea,Male,M55-59,31,13:58:27,360,1:35:39,363,6:58:57,434,5:03:10,302,Finisher
140,Kim Yongmin,Korea,Male,M30-34,21,13:58:44,361,1:23:11,151,5:57:44,171,6:18:18,478,Finisher
452,현원 임,Korea,Male,M45-49,66,13:59:28,362,1:38:08,406,6:19:25,274,5:44:01,412,Finisher
587,Hiroyuki Ajioka,Japan,Male,M55-59,32,13:59:53,363,1:32:14,307,6:48:48,404,5:08:58,315,Finisher
642,태일 김,Korea,Male,M55-59,33,14:02:23,364,1:45:45,470,6:45:00,384,5:13:45,334,Finisher
545,Chung Guk Seo,Korea,Male,M50-54,53,14:03:21,365,1:26:33,200,6:10:30,234,6:01:52,449,Finisher
362,Junbum Bae,Korea,Male,M45-49,67,14:03:26,366,1:56:00,535,6:09:30,231,5:41:02,402,Finisher
707,Chang Ho Hong,Korea,Male,M65-69,6,14:03:55,367,1:27:24,215,6:59:19,437,5:18:46,348,Finisher
610,Ko Jae,Korea,Male,M55-59,34,14:03:57,368,1:53:56,526,6:40:25,361,5:02:11,297,Finisher
643,금회 문,Korea,Male,M55-59,35,14:03:58,369,1:48:09,489,6:46:59,394,5:13:31,332,Finisher
701,병정 최,Korea,Male,M60-64,16,14:05:15,370,1:25:13,181,6:50:37,408,5:32:23,380,Finisher
594,Kiyang Heo,Korea,Male,M55-59,36,14:05:36,371,1:31:16,293,6:46:44,391,5:26:33,367,Finisher
222,Mohan Pawar,India,Male,M35-39,51,14:06:04,372,1:41:30,437,6:56:16,426,5:14:15,337,Finisher
496,Byeongik Heo,Korea,Male,M50-54,54,14:06:51,373,1:28:58,241,6:59:11,435,5:20:39,353,Finisher
456,석태 최,Korea,Male,M45-49,68,14:07:29,374,1:33:00,326,7:07:35,462,5:04:51,308,Finisher
531,Sunhyo Lee,Korea,Male,M50-54,55,14:07:43,375,1:40:46,428,6:56:10,425,5:09:13,316,Finisher
274,Han Seung Hun,Korea,Male,M40-44,66,14:09:07,376,1:41:12,434,6:37:52,350,5:34:38,386,Finisher
35,Geraldine Abuan,Philippines,Female,F55-59,7,14:09:32,377,1:39:09,416,6:52:35,415,5:24:13,362,Finisher
273,Dong Hun Ha,Korea,Male,M40-44,67,14:11:05,378,1:31:29,296,6:10:50,236,6:11:12,466,Finisher
546,Wonsik Shin,Korea,Male,M50-54,56,14:11:31,379,1:29:36,257,6:59:16,436,5:29:40,374,Finisher
241,승중 양,Korea,Male,M35-39,52,14:12:03,380,1:52:55,516,6:08:57,226,5:40:25,400,Finisher
458,황 재규,Korea,Male,M45-49,69,14:12:32,381,1:37:09,386,6:49:46,406,5:27:21,368,Finisher
580,Qingwen Meng,China,Female,F50-54,5,14:14:29,382,1:46:49,481,7:15:36,484,4:49:13,240,Finisher
620,Taedong Noh,Korea,Male,M55-59,37,14:14:33,383,1:36:58,384,7:08:50,466,5:07:09,312,Finisher
368,Sungmin Cho,Korea,Male,M45-49,70,14:15:26,384,1:37:24,389,6:24:56,301,5:57:34,440,Finisher
507,Wookyeong Jeong,Korea,Male,M50-54,57,14:17:08,385,1:37:27,392,6:27:45,315,5:56:36,436,Finisher
201,Hongchul Kim,Korea,Male,M35-39,53,14:17:18,386,1:34:02,338,6:46:28,389,5:32:13,378,Finisher
286,Hyunki Kim,Korea,Male,M40-44,68,14:17:35,387,1:34:57,351,7:18:24,491,4:59:36,284,Finisher
246,경빈 임,Korea,Male,M35-39,54,14:19:58,388,1:38:37,410,6:13:35,245,6:01:15,447,Finisher
522,Ryunhee Ko,Korea,Male,M50-54,58,14:19:59,389,1:33:37,334,5:56:20,166,6:23:34,489,Finisher
656,Eun-Gyung Lee,Korea,Female,F55-59,8,14:21:22,390,1:53:11,519,7:16:05,488,4:56:40,274,Finisher
677,Eui In Kim,Korea,Male,M60-64,17,14:22:10,391,1:45:56,472,7:06:13,457,5:10:45,319,Finisher
654,Kysook Kim,Korea,Female,F55-59,9,14:22:21,392,1:45:35,468,7:06:33,459,5:16:32,341,Finisher
285,Donald Kim,Korea,Male,M40-44,69,14:22:23,393,1:39:26,419,6:28:20,318,5:58:07,442,Finisher
309,Kyungjin Oh,Korea,Male,M40-44,70,14:23:45,394,1:32:40,316,6:44:26,381,5:50:39,425,Finisher
499,Sungsoo Huh,Korea,Male,M50-54,59,14:23:51,395,1:13:43,40,6:09:09,229,6:33:58,503,Finisher
402,Jeong Cheol Lee,Korea,Male,M45-49,71,14:24:03,396,1:35:09,358,5:43:49,130,6:50:20,516,Finisher
251,Thianny Abadia,United States,Female,F35-39,8,14:24:35,397,1:36:34,378,6:35:18,341,6:02:13,450,Finisher
421,Robert Jonah Rivera,Philippines,Male,M45-49,72,14:26:40,398,1:34:07,340,6:44:08,379,5:49:13,421,Finisher
615,Sang Myeong Lee,Korea,Male,M55-59,38,14:27:15,399,1:53:01,517,6:40:34,364,5:34:09,385,Finisher
644,철경 박,Korea,Male,M55-59,39,14:29:01,400,1:33:23,329,7:05:06,455,5:32:46,381,Finisher
399,Do Hyung` Lee,Korea,Male,M45-49,73,14:29:09,401,1:35:50,367,6:48:06,400,5:49:39,422,Finisher
387,Chang Nam Kang,Korea,Male,M45-49,74,14:29:59,402,1:14:48,49,7:26:26,501,5:34:00,384,Finisher
467,Jihyeon Mun,Korea,Female,F45-49,11,14:31:20,403,1:45:32,467,6:39:09,356,5:50:57,427,Finisher
480,Younghwan Bu,Korea,Male,M50-54,60,14:31:45,404,1:38:04,404,6:44:17,380,5:42:00,406,Finisher
686,Jongnam Roh,Korea,Male,M60-64,18,14:32:50,405,1:51:24,505,7:08:00,463,5:16:52,342,Finisher
208,Haesoo Lee,Korea,Male,M35-39,55,14:33:26,406,1:40:18,426,6:42:06,371,5:56:44,437,Finisher
190,Chang-Woo Choi,Korea,Male,M35-39,56,14:33:41,407,1:30:16,273,6:24:57,302,6:15:38,472,Finisher
373,Buhyun Ham,Korea,Male,M45-49,75,14:33:52,408,1:26:34,202,6:37:19,348,6:09:34,461,Finisher
651,호경 한,Korea,Male,M55-59,40,14:35:09,409,1:44:56,461,7:06:26,458,5:20:42,354,Finisher
509,Daeho Kang,Korea,Male,M50-54,61,14:35:31,410,2:00:32,547,6:34:30,337,5:45:20,415,Finisher
384,Chanil Jung,Korea,Male,M45-49,76,14:35:46,411,1:27:06,210,6:02:51,195,6:54:18,520,Finisher
429,Chang-Ki Youn,Korea,Male,M45-49,77,14:36:19,412,1:30:29,277,6:25:51,307,6:18:37,481,Finisher
489,Hansun Choi,Korea,Male,M50-54,62,14:37:30,413,1:32:09,303,6:34:30,338,6:13:48,469,Finisher
661,영수 최,Korea,Female,F55-59,10,14:37:44,414,1:26:10,195,7:12:00,474,5:39:50,399,Finisher
510,Sungsoo Kang,Korea,Male,M50-54,63,14:37:55,415,1:17:03,73,6:17:12,265,6:51:51,517,Finisher
600,Min Cheol Jeong,Korea,Male,M55-59,41,14:38:20,416,1:35:41,365,6:41:15,367,6:00:23,445,Finisher
617,Sueok Lee,Korea,Male,M55-59,42,14:38:20,417,1:45:18,464,6:24:03,295,6:11:22,467,Finisher
673,Myong Chun Jo,Korea,Male,M60-64,19,14:38:25,418,2:02:34,551,6:55:55,422,5:20:14,351,Finisher
506,Namgwan Jeong,Korea,Male,M50-54,64,14:39:56,419,1:25:18,182,7:04:51,453,5:42:09,408,Finisher
579,Sung Hwa Kim,Korea,Female,F50-54,6,14:40:46,420,1:35:07,357,7:29:36,506,5:12:26,327,Finisher
574,Yuko Fujimoto,Japan,Female,F50-54,7,14:41:50,421,1:30:31,279,7:42:36,521,5:02:36,300,Finisher
521,Sung Jun Kim,Korea,Male,M50-54,65,14:42:22,422,1:32:50,322,7:18:02,489,5:19:49,349,Finisher
437,태규 김,Korea,Male,M45-49,78,14:43:25,423,1:15:56,60,7:03:23,448,6:03:40,454,Finisher
592,Sangsam Han,Korea,Male,M55-59,43,14:43:55,424,1:25:20,184,6:53:04,418,6:04:14,455,Finisher
625,Donggyoo Park,Korea,Male,M55-59,44,14:43:59,425,1:46:14,475,6:34:06,334,6:02:58,453,Finisher
589,Richard Bysouth,United Kingdom,Male,M55-59,45,14:44:05,426,1:36:47,379,7:07:14,460,5:38:15,393,Finisher
683,Tak Gyu Lim,Korea,Male,M60-64,20,14:45:52,427,1:32:46,319,7:01:04,441,5:45:24,416,Finisher
668,Chang Gyu Hwang,Korea,Male,M60-64,21,14:47:54,428,1:34:15,344,7:12:38,478,5:41:24,404,Finisher
649,장 영근,Korea,Male,M55-59,46,14:49:09,429,1:31:29,297,6:44:59,383,6:16:50,475,Finisher
555,성식 김,Korea,Male,M50-54,66,14:50:16,430,1:48:36,493,7:07:32,461,5:27:52,369,Finisher
616,Seung Hee Lee,Korea,Male,M55-59,47,14:50:53,431,1:52:41,514,7:22:23,495,5:11:24,323,Finisher
570,재교 최,Korea,Male,M50-54,67,14:51:04,432,1:53:57,527,7:09:06,469,5:21:03,357,Finisher
685,Youn Gi Park,Korea,Male,M60-64,22,14:52:13,433,1:38:27,409,6:45:09,385,6:10:08,463,Finisher
603,Yongduk Jung,Korea,Male,M55-59,48,14:52:20,434,1:44:54,459,7:08:44,465,5:38:13,392,Finisher
378,Sang Kyu Jang,Korea,Male,M45-49,79,14:52:27,435,1:33:27,331,7:09:00,467,5:54:07,432,Finisher
141,Young-Dae Kim,Korea,Male,M30-34,22,14:52:59,436,1:34:07,341,7:29:01,504,5:17:28,345,Finisher
700,동일 장,Korea,Male,M60-64,23,14:54:14,437,1:53:50,523,6:48:32,402,5:42:00,407,Finisher
491,Namjo Choi,Korea,Male,M50-54,68,14:55:06,438,1:31:01,287,7:18:14,490,5:50:07,424,Finisher
304,Yohan Min,Korea,Male,M40-44,71,14:55:52,439,1:37:35,394,7:33:04,509,4:55:10,265,Finisher
439,현석 김,Korea,Male,M45-49,80,14:55:55,440,1:44:54,460,7:03:47,451,5:44:47,414,Finisher
264,Eungyu Choi,Korea,Male,M40-44,72,14:57:57,441,1:55:28,530,6:40:34,365,6:06:28,459,Finisher
151,승찬 이,Korea,Male,M30-34,23,14:59:26,442,1:24:22,169,7:05:09,456,6:09:59,462,Finisher
323,Seungyeon Yeom,Korea,Male,M40-44,73,15:00:07,443,2:02:37,552,6:51:05,411,5:38:15,394,Finisher
655,Kyung Sook Kim,Korea,Female,F55-59,11,15:00:28,444,1:42:05,441,7:33:59,511,5:29:01,373,Finisher
503,Dong Oh Jang,Korea,Male,M50-54,69,15:00:41,445,1:29:19,251,7:33:47,510,5:28:19,371,Finisher
